app_name;review_all;sentimen;label_manual
Stockbit;sdh 2 hari setiap kali mau jual saham aplikasi error tidak bisa jual beli harus nya di perbaiki secepatnya sampai di bawa minus saham mau di jual harusnya untung malah buntung;negative;negative
Ajaib;apk mbutt susah sekali kalau mau pindah rekening dan support sistem nya kek konttrtrlll fee ngga ngotak juga mikir kidss saranya cuma satu yaitu costumer service nya tolong lah lebih diutamakan sedikit;negative;negative
IPOT;sdh bagus hanya ketika username password nik email nohp tdk bisa masuk tdkada pemberitahuan masuk melalui wa email ini yang membuat bingung;negative;negative
IPOT;pake ipot dari 2020 jaman covid dan sampai sekarang masih dipakai utk trading semuanya masih aman2 saja withdrawn uang cepat saat dibutuhkan fitur semakin komplit yang paling saya suka adalah fitur robo trading dimana kita bisa pasang stop loss taking profit dan trailing stop secara bersamaan sehingga meminimalisir tingkat loss dan bia ditinggal kerja tanpa harus setiap saat pantau thanks ipot sukses selalu kedepannya;positive;positive
Stockbit;eror terus setiap open market mau tp tdnya untung malah jd buntung sempak;positive;negative
IPOT;performa aplikasi sudah semakin baik dan lancar juga beberapa fitur tambahan yang bikin makin nyaman dan yang terpenting cs mudah dihubungi apalgi kalau pake ipotflex bisa tarik dan transfer dana gratis kemana saja good job;positive;positive
Stockbit;csnya di tanya klu isi rdn kena biaya admin tidak tp tidak ada responsaya baru ngetes isi rdn 100rb tp kena potong 12000 msk admin isi rdn 12 sudah chat admin tidak ada respon;negative;negative
Ajaib;ipo emas bagus banget prospeknya di ajaib ditambah dapet cashback saham emas 100rb saham emas lumayan banget;positive;positive
Stockbit;terimakasih;positive;positive
Ajaib;sial banget aku order sp padahal pake market order sekitar jam 2130 han tapi blum di eksekusi sampe sekarang cepetin lagi bang;negative;negative
Ajaib;investasi saham jadi lebih seru karena saya bisa dapat cashback emas setiap periode promo;positive;positive
Ajaib;pakai ajaib gampang banget trading harian aku main di saham cuan chart candlesticknya enak dibaca bikin pede masuk market;positive;positive
Stockbit;suka error awal buka jam bursa;negative;positive
Ajaib;aplikasi sangat berguna untuk yang mau beli saham dan aplikasi ini sangat mudah digunakan dan dimengerti terima kasih;positive;positive
Stockbit;kalau pagi pas pembukaan pasar selalu tidak bisa transaksi portofolio tidak bisa d buka tombol jual hilang berapa kerugian kami sebagai pengguna app ini krna tdk bisa transaksi tolong diperbaiki secepatnya;negative;negative
Stockbit;enakan ajaib proses wd nya lama sekali padahal sudah t2;negative;negative
Ajaib;order ipo emas di ajaib bisa dapet bonus rdn lumayan banget nih daftar ajaib dulu nanti dapet cashback saham emas rp100k lumayan gaes;positive;positive
Stockbit;virtual trading tidak bisa di buka min tulisannya kesalahan server;neutral;negative
IPOT;tampilan menu komplit user frendly;positive;positive
Stockbit;faaa kkk sering banget error an jjjg pagi pagi;negative;negative
IPOT;aplikasi sekuritas yang recomend dri prosesnya yang gercep dan yang paling penting anti lag2 pas open market good job pertahankan terus;positive;positive
Stockbit;ok terima kasih kerja samanya;positive;positive
Stockbit;setiap pagi pas buka bursa error pas genting gini mau buat transaksi tidak bisa ini modal pakai uang oibukan main;neutral;negative
IPOT;cepat banyak fitur komunitas yang ramah dan membantu;positive;positive
IPOT;sekuritas pertamaku dan belum mau beralih kemanapun karena mudah digunakan dan dipahami semoga cuan ku mengalir deras bersama indo premier sekuritas ganbatte;positive;positive
Stockbit;bagus dan sangat bagus;positive;positive
Ajaib;ini kenapa tiba² semua penarikan penjualan aset dan withdrawal jadi lama banget apakah ada penjelasan dsni ini menyangkut keuangan banyak org lho;negative;negative
Stockbit;sering error;negative;negative
IPOT;semoga ipot menjadi platform bursa saham terkemuka di negeri ini;neutral;positive
Ajaib;iya ribet banget ngurus akun saja pantesan bintang 40 orang ribet kayak gini gimana orang mau pakai dan percaya sma aplikasinya kalau sistem kyk gini;negative;negative
Stockbit;settlement lama bisa 34 hari bursa beda sama sekuritas lain yang cuman 2 hari saja terus ada biaya data livefeed 15ribu setiap bulan yang cuman disekuritas ini saja yang lain tidak ada;neutral;neutral
IPOT;ngecek history transaksi dipersulit padahal sebelumnya mudah malah dirubah2 jadi ampas saya memang ritel rendahan tapi saya bisa mengajak orang berpaling kalau tidak dibalikin seperti sebelumnya mutasi investasi tidak layak digunakan;negative;negative
Stockbit;good;positive;positive
IPOT;tidak bisa regristrasi disuruh update aplikasi padahal yang saya instal aplikasi yang terbaru mohon solusi min;neutral;neutral
Ajaib;aplikasi ini sangat mudah dipahami untuk pemula;positive;positive
Ajaib;aplikasi saham terbaiktampilannya bagus dan fiturnya lengkap mudah digunain jugajujur dibanding aplikasi lain disini fiturnya lebih mudah dan tidak ribet;positive;positive
Ajaib;proses depositnya lama sekali padahal sudah cukup lama pakai apl ini tolong lah;negative;negative
Stockbit;sangat membantu nyaman dipakai alhamdulillah;positive;positive
IPOT;saya sudah 2 tahun berinvestasi mennggunakan ipot saya sangat puas untuk inves maupun yrading disini saya paling suka fitur booster dimana saya diberikan pinjaman untuk pembelian saham selain itu ipot care juga sangat membantu memberikan solusi atas pertanyaan saya ipot juga aplikasii yang jarang sekali mengalami gangguan sehingga sangat nyaman untuk digunakan pemberian informasi yang lengkap membuat saya bisa mengetahui lebih banyak informasi yang saya butuhkan saya sangat senang sekali;positive;positive
Ajaib;aplikasi keren;positive;positive
Ajaib;aplikasi saham yang luar biasa fitur notifikasi dan update harga saham secara real timemembuat saya dapat memantau pasar dengan lebih baik dan juga saya dapat membuat keputusan investasi yang lebih baik;positive;positive
Ajaib;baru pemula ni bisa cepat di ngerti jga;positive;positive
Ajaib;trading di ajaib saham mudah transparan dan saya dapat cashback emas ‎;neutral;positive
Ajaib;aku sempet beli saham cdia waktu market lagi hijau lewat ajaib cepat banget order masuk langsung muncul di portofolio;positive;positive
IPOT;tampilan layar menunya lebih fresh dan segar yang sblm ada updetan yang baru ini yang skrng ini agak kurang fresh;positive;negative
Ajaib;simpel;positive;positive
IPOT;aplikasi ipot ini very very userfriendly easy digunakan dilengkapi fiturfitur menarik sprti fast buy fast sell robo trading bkin transaksi jadi lebih simple tersedia jg tools stock screener stock comparison charting indikator memudahkan utk analisa fundamental teknikal ada juga sistem security fingerprint dan dark mode view live trade news updates serta learning journey bagi pemula market info report transaksi lengkap aplikasi ini sesuai dengan namanya ipot tidak repot;positive;positive
Ajaib;ipo saham emas kenapa bisa saya tidak dapet min;neutral;neutral
Ajaib;mudah d mengerti;positive;positive
Stockbit;mantap cuan nya;positive;positive
Ajaib;kenapa tidak bisa dibuka ya ajaibnya sudah install ulang tetap tidak bisa;negative;negative
Stockbit;nyaman;positive;positive
Stockbit;baik;positive;positive
IPOT;ini aplikasi semakin tidak jelas kali mau masuk saja susah selain itu sering nge freezeakhirnya keluar dari aplikasi terus masuk lagi jual saham dibawah angka pasar juga lambatmasuk ke order status dulu ujung2nya harga semakin turun dan gantung terus hasil penjualan di order status tidak recommended;negative;negative
IPOT;sudah verifikasi semua kenapa rdn belum muncul apa nunggu beberapa hari lagi min;negative;neutral
IPOT;tambah ribet;negative;negative
Stockbit;good;positive;positive
IPOT;ipot semakin mudah digunakanfitur2 nya juga cukup membantu dalam berinvestasi;positive;positive
IPOT;coba lah mulai investasi sedini mungkin untuk metaraih mimpi dihidupmu;neutral;neutral
Ajaib;scam saya ganti hp tidak bisa login ribet bolak balik verifikasi tetap gagal dana saya masih banyak tersimpan;neutral;negative
Stockbit;mantap;positive;positive
Ajaib;mau rubah nomor hp susah banget padahal nomor lama sudah tidak aktif lagi;negative;negative
Stockbit;kok sudah diupdate malah eror gini dan tidak bisa masukini juga eror lagi buat masuk;negative;negative
IPOT;sangat bagus bisa dimengerti dan praktis;positive;positive
Ajaib;mantap banget ajaib saham itu aplikasi terbaik buat trading saham gampang banget dan banyak pilihan saham ipo nua;positive;positive
Ajaib;yang mau download hati hati saja deposit sering delay proses wd lama dan ketika match di sell saham tiba tiba sahamnya hilang 1 lot saham brms tiba tiba hilang gitu saja sudah di chat dan email cs agent beserta semua bukti transaksi ternyata yang balas hanya robot dan mengulang ulang perintah kirim bukti lagi;negative;negative
Stockbit;daftar saja susah malah suruh benerin ktp hadeh;negative;negative
IPOT;ipot skrng makin lebih keren;positive;positive
IPOT;aplikasi ini benerbener bikin hidupku jadi lebih gampang fitur tarik dana setelah jual saham match maksimal 5 juta tanpa nunggu 2 hari itu super membantu banget plus pilihan obligasinya banyak dan murah dibanding aplikasi lain cocok banget buat yang suka cari untung maksimal harus coba;positive;positive
Ajaib;kenapa skrg klo melakukan widraw sering tidak masuk di rekening yang di tujukan tp saldo sudah terpotong;neutral;neutral
Ajaib;duit gw mana jing pesen pjhb dibatalin;negative;negative
Ajaib;saya kurangin bintang nya karena customer service email nya sangat lama buat balas pesan saya;negative;negative
IPOT;aplikasi yang cocok untuk memulai belajar treading;positive;positive
IPOT;ok;negative;neutral
Ajaib;woi gua ambil reksadana kaga masuk masuk ajaib tolong dong mao di cancel gabisa sedangkan sistem buat reksadana tidak jelas;negative;negative
Ajaib;ok;negative;neutral
Ajaib;woke;negative;neutral
IPOT;nice ipot;negative;positive
Ajaib;aplikasi yang sangat bagus menurut sayakarna sangat mudah di gunakan saya kasih rate 5 karna sangat bagus;positive;positive
Stockbit;apakah bisa pake danain;neutral;neutral
IPOT;dari 2016 kenal ipot alhamdulillah aman terkendali lihat di grup tele banyak yang panik dengan sekuritas lain karena tidak bisa di akses tapi ipot amanaman saja terima kasih ipot tetap jadi yang terpercaya;positive;positive
Ajaib;kak ini gimn iya kok akun saya belum di verifikasi data dan gimn cara kirim data ulang nya kak mohon di bantu;neutral;neutral
IPOT;adalah akum saham pertamaku yang kubuat setelah lama pilih2dulu belom banyak pilihan akun yang bisa deposit 100kkayake cuma ipotdan di ipot juga syaratnya tidak ribet kayak akun di sekuritas lainkslo sekarang mah banyak yang mudah tapu ipot tetap tidak kalah saing;positive;positive
IPOT;lanjutkan inovasi cari peluang perkuat keamanan;neutral;neutral
IPOT;mudah dipahami;positive;positive
Ajaib;saya betah karena investasi di ajaib saham bisa kasih saya cashback emas;positive;positive
IPOT;makin hari makin tidak jelas liat menu ipot ini makin ribet buat jual saja belok lg lemot nya;negative;negative
Stockbit;dear stockbit mau kasih saran dong coba stockbit tambahkan transaksi lanjutan saya pengen banget bisa beli bitcoin atau crypto lainnya di aplikasi stockbit ini jadi bukan hanya saham saja tapi crypto juga di aplikasi lain kan hanya ada saham us dan crypto coba dong stockbit diupdate lagi soalnya ini aplikasi enak banget uiux nya sangat friendly semoga didengar ya;positive;neutral
IPOT;pakai ipot wihdrawal cepat hari libur pun bisadan paling berkesan layanan customer service cepat bangetsetiap ada pertanyaan dan penjelasan tentang ipot langsung cepat tanggaprecommended dah;positive;positive
Stockbit;jam buka market erorr;negative;negative
Stockbit;sekuritas bosok masa setiap pembukaan pasar jam 0900 error;neutral;negative
Stockbit;sering nge laggak bisa jual bikin rugi;negative;negative
Ajaib;mantap;positive;positive
Ajaib;kenapa tidak bisa login;neutral;neutral
Stockbit;eror 2 hari di jam krusial;negative;negative
Stockbit;sering error yang berujung floating loss;negative;negative
Stockbit;hebat;positive;positive
Stockbit;terbaik;positive;positive
Ajaib;puas banget semoga invest di ajaib bikin kita cuan semua;positive;positive
Ajaib;pelayanan jelek banyak pilihan yang tidak di mengerti;negative;negative
IPOT;terimakasih ipot sangat mudah digunakan dan cepet proses wdnya historical grafiknya juga sangat lengkap hingga 10 tahun terakhir;positive;positive
Ajaib;seharusnya kalau mau beli saham langsung ke cash jangan reguler 10x leverage kalau orang tidak tau tiba tiba di tagih utang kan kasian dia tidak tau semangat belajar orang awan;negative;negative
IPOT;ngelag banget min minta tolong di sederhana kan saja;negative;negative
IPOT;ok;negative;neutral
Stockbit;kebiasaan tiap pagi eror terus bikin rugi;negative;negative
IPOT;aplikasinya keren;positive;positive
IPOT;ipot berguna banget buat pemula seperti saya karena tidak ada minimal deposit kemudian menyediakan robo trading otomatis transaksi serta mendukung berbagai produk investasi;positive;positive
Ajaib;deposit saja cepat masuknya dijam kerjarekening pribadi ke rdn kenapa penarikan dananya dijam kerja lama banget masuknya padahal dana lagi dibutuhkan rdn ke rekening pribadi urgent;negative;negative
IPOT;aplikasi saham pertamaku yang sangat membantu sekali dari tahun 2021 pakai aman nyaman dan terpercaya honestly review no kaleng² makasih ipot;positive;positive
Ajaib;hebat di sini nya rdn sudah berhasil di tarik tapi pas di cek di akun bank tidak msuk aplikasi penipuan;negative;negative
Ajaib;saldo rekening ajaib alpha saya kok ngga masuk² y sudah 4 jm sana nunggu;neutral;negative
IPOT;platform sangat bagus;positive;positive
Stockbit;baik saya coba jalankan;negative;neutral
Stockbit;aplikasi yang sangat membantu untuk pemula belajar ilmu persahaman;positive;positive
Stockbit;error nya bikin emosi tiap waktunya buka pasar;negative;negative
IPOT;mantap semoga amanah;positive;positive
Ajaib;saat akun saya terblokir;neutral;neutral
Ajaib;aku beli saham unvr dan ptba lewat ajaib buat jangka panjang dua sektor berbeda consumer goods dan tambang bikin portofolio aku seimbang;positive;neutral
Stockbit;saran minn apknya dibenetin lagiii karena sering eror akhir2 ini kalau dibenerin lagi aku bintang 5 nih;negative;neutral
Stockbit;setelah update malah jadi sering lag tiap masuk portofolio selalu terjadi kesalahan mending ngga usah cape update palah tambah jelek awokawok;negative;negative
Stockbit;tiap pagi selalu error stoploss tidak kena kacau;positive;negative
Stockbit;apknya memang bagus tapi untuk registrasinya mengapa harus pakai nomor telepon tempat institusi pendidikan apakah tidak bisa cara lain;negative;negative
Ajaib;order ipo emas di ajaib bisa dapat bonus rdn mayan bangett sihh ini rekomenn banget jangan lupa di ajaib juga bisa dapat saham emas gratis lohh;positive;positive
Ajaib;mudah dan aman terpercaya untuk pemula yang mau main saham;positive;positive
IPOT;apk ini sangat mudah di pahami dan juga cs nya ramahh dan asik buat belajar investasi saham mudah;positive;positive
IPOT;sangat memuaskan pengguna;positive;positive
IPOT;aplikasi ini sangat bagus buat trading dan investing pasar saham;positive;positive
IPOT;terimakasih ipot menemani dan membantu saya tentang dunia investasi selama kurang lebih 5 tahun sd sekarang dan semoga selamanya mari berani memulai mulai dengan belajar dulu atau langsung investasi sambil mendalami apapun cara memulainya ipot rekomendasinya;positive;positive
Ajaib;top up saldo ajaib kripto diproses terus tidak masuk masuk ngehubungin cs gada respon sampe sekarang;negative;negative
Stockbit;reset password sudah 2 hari gabisa2 mana email gada yang masuk;negative;negative
Ajaib;uda mau pindah ke app lain saja utk proses uang masuk ke rdn sangat lama tggl 31 okt jual dan di tggl 4 baru masuk ke rdn dari rdn tarik ke bank lama juga kenapa ya tidak bisa seperti app sebelah yang proses sangat cepat tidak lama uda masuk uang nya uda tidak mau lagi pakai applikasi ni nanti pelan2 saham yang lain dijual utk pindah ke app lain saja susah proses di app ni lama kali diproses nya buat yang lain pikir2 la nanti urgent butuh tapi uang berhari2 baru masuk ke rekening;negative;negative
IPOT;bagus;positive;positive
Stockbit;sangat bermanfaat;positive;positive
Ajaib;mengurus verifikasi ulang ktp yang buram dibantu cs yang cepat respon via email panduannya jelas dan tidak memakan waktu lama;neutral;negative
Ajaib;ipo anak usaha mdka prosesnya gampang banget lewat aplikasi ini informasi harga penawaran jadwal dan detail perusahaan jelas cocok buat investor pemula yang mau ikut ipo besar di sektor emas recommended;positive;positive
Ajaib;ipo emas tahun ini prospeknya cerah banget aku sudah pesen lewat ajaib saham semoga allotmentnya dapet banyak;positive;positive
Ajaib;bagi kalian yang baru mulai inves aku rekomen pakai aplikasi ini saja;neutral;positive
Stockbit;benerin tuh server eror mulu;negative;negative
Stockbit;woy lg trading malah error aplikasinya yang bener saja kocak;negative;negative
Ajaib;walaupun sering ada kendala saat login soo farr so good selebihnya amansama fitur setelah update dipisah yang seharusnya lebih bagus digabungkan untuk yang masih muda disarankan untuk investasi sedini mungkindan banyak belajar yaa;positive;positive
Stockbit;tolong untuk transaksi nego nya dipermudah belajar dari sekuritas lain yang mampu menyediakan transaksi nego lebih cepat dan mudah;positive;negative
Ajaib;mantepp nihhh;negative;positive
Ajaib;parah potongan saldo nya gilaaaa ketika close withdraw;negative;negative
Stockbit;ini halal;positive;positive
IPOT;saya turunin bintangnya mau ganti bank tapi susahnya minta ampun tidak direkomendasikan buat kalian para pemula padahal aplikasi lain banyak yang lebih mudah;negative;negative
IPOT;super app pertama untuk berinvestasi di pasar modal berawal dari ipotgo dan sekarang berevolusi menjadi ipot yang mengintegrasikan instrumen investasi dalam 1 aplikasi;neutral;neutral
Stockbit;aplikasi jelek pas market buka selalu error mending pindah ke aplikasi lain;negative;negative
IPOT;bagus;positive;positive
IPOT;good;positive;positive
IPOT;aplikasi yang bagus untuk sekelas investasi saham tapi soal tampilan bisalah di per simpel sedikit;positive;positive
Ajaib;siapsiap bulan september akan ada ipo pama anak usaha mdka belinya di ajaib daftar ajaib saja dulu nanti bisa dapet cashback saham emas rp100k lumayan bangett;positive;positive
Ajaib;saya tidak bisa mengambil foto ktp saya;neutral;negative
Ajaib;nice;positive;positive
Ajaib;aplikasinya masih nyampur ada crypto ada saham ada future dsb knp hrs 2 aplikasi klo masih nyampur gtu klo mo banyak aplikasi ya jgn dicampur cs nya lelet hrs mantengin chat klo tidak ngasih alesan tdk ada balasan dari kakaktolonglah diperbaiki jgn korupsi waktu uang dan tenaga kalian semuanya ada hisabnya;negative;negative
IPOT;saat ini sering error untuk di hp;negative;negative
Stockbit;sdh 2 hari ini tiap pagi bermasalah terussssementara sya kasih bintang 1 supaya diperbaiki segera sptnya sdh ditanganisemoga ttp dijaga performanya;positive;negative
Stockbit;sebenernya apk nya bagus mudah di mengerti namun untuk cs nya lambat banget responnya;negative;negative
Stockbit;bagus;positive;positive
IPOT;ipot memberikan kenyamanan dan ketenangan dalam bertrading saham karena dari sisi fitur cukup mendukung dari sisi keamaan dana kita juga aman saya sudah memakai ipot 10 tahun lebih tidak akan berganti ke sekuritas lain;positive;positive
IPOT;nice terbaik;positive;positive
IPOT;mudah dan aman dalam berinventasi dari segi modal kecil dan modal besar sudah bisa membeli sahampelan2 tapi pasti;positive;positive
IPOT;admin respon zag zeg oke rekomendasi si utk anak muda;neutral;positive
Ajaib;update nya gmna sih semua saham tecampur bahkan krypto yang dulu dipisah sekarang digabung sda gitu menu market klw dibuka aplikasinya sering eror nutup sndiri tolong diperbaiki;negative;negative
IPOT;aplikasi ipot benerbener bikin investasi jadi lebih gampang dan seru tampilan simpel fitur lengkap dan bisa beli saham atau reksa dana kapan saja fitur robo trading juga ngebantu banget buat yang sibuk tapi tetap mau cuan transaksi cepat aman dan tim supportnya responsif cocok banget buat pemula maupun yang sudah berpengalaman pokoknya mantap banget ayo guest sukses bersama ipot;positive;positive
IPOT;sumpah makin jelek tampilan nya kenapa sih di rubah jadi bingung;negative;negative
Ajaib;aplikasi crypto yang sangat bagus buat trading dan deposit tanpa potongan lagi pokoknya mantap lah sukses selalu;positive;positive
IPOT;bagus;positive;positive
Stockbit;good;positive;positive
Ajaib;nyesel download sudah order 100k tidak masuk masuk;negative;negative
IPOT;aplikasinya mayan bgus;positive;positive
Stockbit;open market error;negative;negative
Ajaib;aplikasi trading terbaik benerbener mantap trading disini sangat cocok untuk pemula wajib download sih kalian;positive;positive
IPOT;per hari ini 17 maret 2025 saya tidak bisa login ke aplikasi akun ipot saya padahal username dan password sudah benar berkali kali saya coba ttp tidak bisa tolong diperbaiki masalah ini saya sudah kirim email tidak ada tanggapan;negative;negative
Ajaib;gesit cuma verifikasi nya lama baget;negative;negative
IPOT;aplikasi sekuritas terpercaya fiturnya komplit mudah digunakan pemula dan ada fitur pro;positive;positive
Ajaib;saldo ditarik sudah ada konfirmasi berhasil tapi belum ada masuk di rekening utama;neutral;negative
Ajaib;aplikasi ini bagus cocok yang mau investasi sahamcryptoobligasireksa danafee nya rendah hanya 10ribu;positive;positive
Ajaib;empat dulu;neutral;neutral
Stockbit;aplikasi enak digunakan tak ribet;positive;positive
IPOT;sangat membantu dalam kegiatan sehari;positive;positive
Ajaib;abis update per hari ini kok setiap buka menu market malah keluar sendiri yah sudah bisa makasih yah;negative;neutral
Stockbit;gabisa buy and sell parah;positive;negative
IPOT;aplikasi semakin berat lag parah;negative;negative
IPOT;praktis dalam order dan beli saham eipo;neutral;positive
Ajaib;lag banget;negative;negative
IPOT;sangat bagus;positive;positive
Ajaib;di bulan september ini bakal banyak saham yang bagus kaya ipo emas bagus banget buat jangka panjang;positive;neutral
IPOT;semoga ke depan bisa merubah akun bank dengan mudah dan langsung dari aplikasinya;neutral;neutral
Stockbit;sangat memudahkan dalam ber investasi;positive;positive
IPOT;aplikasinya bagus banget buat pemula edukasinya jelas tampilannya bersih dan fiturfitur investasinya mudah di pahami cuma kadang suka logout sendiri dan suka disconnection saat mau buka aplikasi padahal jaringan stabil semoga ke depannya makin optimal tetap jadi favorit saya;positive;positive
Ajaib;buy sell disini paling gampang di ajaib saham ini juga ada fitir kalender saham buat liat info emiten terbaru;neutral;positive
IPOT;aplikasi trading saham terbaik menurut saya fitur lengkap mulai dari pembukaan rekening chart hingga order jual beli cocok untuk pemula dan profesional ui makin membaik dan customer service cepat tanggap sukses terus ipot;positive;positive
IPOT;aku suka banget ui sistem aplikasi ini terkesan rapi dan enak buat mantau saham terkini selain itu selalu update harga saham tepat waktu dan customer service nya juga ramah ramah dan menjelaskan dengan terperinci investasi jadi aman dan mudah;positive;positive
IPOT;my first broker app bagus sih ui nya elegan dan sangat informatif untuk keamanan juga selama ini oke saja sudah 5tahun pakai so far still good choice;positive;positive
IPOT;saya sangat berterima kasih atas bantuan dan saran yang diberikan oleh sekuritas ini mereka benarbenar membantu saya dalam mencapai tujuan investasi sayabuka rdn dipermudah 🫶;positive;positive
Stockbit;lemot nihh pelayanan ketika ada masalah nyaaa;negative;negative
IPOT;aplikasi nya sangat membantu saya sudah lama menggunakan ipot semoga lancar terus dan memberi manfaat untuk para investor;positive;positive
Stockbit;aplikasi trading saham terbaik saat ini;positive;positive
Stockbit;menurut saya sangat ribet sekali soal cara pendaftarannya terutama di wajib buka rekening jago yang kantor tdk ada di daerah saya dan saya di arakan untuk buka secara online dan menurut saya itu kaya pemaksaan karna saya tdk mau buka rekening jago apalagi bank itu tdk ada di daerah saya dan apabila saya juga sudah punya atm sendiri yang bank ada di daerah saya menurut saya tdk cocok;negative;negative
